tradition,attribute,dark_magic,name,area,target,duration,requirement,description,utility_or_attack,book,page_number,spell_level,image_path,source_pdf,pdf_page
Air,Will,no,Stir the Air,A sphere with a 2-yard radius centered on a point you can reach,,1 minute,,"You create a light breeze in the area, which moves with you for the duration. The breeze clears away odors and dust, scatters lightweight objects such as papers, extinguishes candles, and causes larger flames to flicker and dance. Creatures in the area that attack you with thrown or ranged weapons make their attack rolls with 1 bane.",UTILITY,SHADOW,115,0,extracted_images/air_stir_the_air_p02.png,SotDL - Spell Cards - Air.pdf,2
Air,Will,no,Wind Blast,,One creature or object within short range,,,"A powerful wind assails the target. Make a Will attack roll against the target's Strength. On a success, the wind moves the target 1d6 yards away from you. Attack Roll 20+ The target falls prone at the end of this movement.",ATTACK,SHADOW,115,0,extracted_images/air_wind_blast_p04.png,SotDL - Spell Cards - Air.pdf,4
Air,Will,no,Evoke Gale,"A cone, 3 yards long, originating from a point within short range",,,,"A howling wind disperses vapors, fog, smoke, and gas from the area. Unprotected flames gutter out, and lightweight objects are blown to the nearest edge of the area. Each creature in the area must get a success on a Strength challenge roll or be moved 1d6 yards away from the origin point. Flying creatures make the roll with 1 bane.",ATTACK,SHADOW,115,1,extracted_images/air_evoke_gale_p06.png,SotDL - Spell Cards - Air.pdf,6
Air,Will,no,Flense,,One creature or object within short range,,,"Windborne grit scours your target. Make a Will attack roll against the target's Strength. On a success, the target takes 2d6 + 3 damage. A living creature that becomes incapacitated by this damage dies instantly, its flesh (if any) stripped from its bones. Attack Roll 20+ The target takes 2d6 extra damage.",ATTACK,SHADOW,115,1,extracted_images/air_flense_p08.png,SotDL - Spell Cards - Air.pdf,8
Air,Will,no,Glide,,One creature within long range,1 minute,,"Triggered You use a triggered action to cast this spell when you see the target fall. For the duration, the target takes no damage from landing af er a fall. If it continues to fall af er the eff ect ends, it takes damage based on where it continues falling from.",UTILITY,SHADOW,115,1,extracted_images/air_glide_p10.png,SotDL - Spell Cards - Air.pdf,10
Air,Will,no,Still the Air,A sphere with a 4-yard radius centered on a point within medium range,,1 hour,,"For the duration, no sound emanates from or reaches into the area. Creatures in the area are deafened and are immune to any sound-based attack, such as the Thunderclap spell.",UTILITY,SHADOW,115,2,extracted_images/air_still_the_air_p12.png,SotDL - Spell Cards - Air.pdf,12
Air,Will,no,Thunderclap,A sphere with a 10-yard radius centered on a point within medium range,,,,"A wave of thunderous noise spreads out from the center of the area, dealing 1d6 + 1 damage to everything in it. Each creature in the area must make a Strength challenge roll, taking half the damage on a success. On a failure, the creature also becomes deafened for 1 minute.",ATTACK,SHADOW,115,2,extracted_images/air_thunderclap_p14.png,SotDL - Spell Cards - Air.pdf,14
Air,Will,no,Bestow Flight,,One creature you can reach,1 hour,,You touch the target. It can fly at its normal Speed for the duration.,UTILITY,SHADOW,115,3,extracted_images/air_bestow_flight_p16.png,SotDL - Spell Cards - Air.pdf,16
Air,Will,no,Fling,"A cylinder, 4 yards tall with a radius of 4 yards, centered on a point within long range",,,,"A powerful blast of wind erupts from the origin point. Each creature in the area must make a Strength challenge roll; Size 1 or smaller creatures make the roll with 1 bane. On a failure, it falls prone and is moved 5d6 yards away from the origin point. If it encounters a solid surface before moving the full distance, it and the surface it strikes each take 1d6 damage plus 1d6 extra damage per 5 yards remaining in this movement (round down).",ATTACK,SHADOW,115,3,extracted_images/air_fling_p18.png,SotDL - Spell Cards - Air.pdf,18
Air,Will,no,Create Cyclone,"A line, 20 yards long, 10 yards high, and 2 yards wide originating from a point within long range",,,,"A powerful whirlwind appears at one end of the area and moves along and through it, dealing 3d6 damage to anything whose space it enters. Each unsecured object damaged in this way is moved 1d6 yards in a direction you choose. Each creature damaged in this way must make a Strength challenge roll. On a failure, it is moved 1d6 yards in a direction you choose and falls prone. On a success, it just takes half the damage.",ATTACK,SHADOW,116,4,extracted_images/air_create_cyclone_p20.png,SotDL - Spell Cards - Air.pdf,20
